,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
40,GOA,12,5,2,18,6,8,0
41,GUJARAT,267,807,62,750,104,3321,0
42,HARYANA,361,290,256,454,1424,1565,0
43,HIMACHAL PRADESH,137,116,6,326,12,234,0
44,JAMMU & KASHMIR,192,596,18,785,368,54,0
45,JHARKHAND,797,178,275,411,3,588,36
46,KARNATAKA,292,300,233,1648,100,1826,0
47,KERALA,499,91,17,2123,102,2836,0
48,MADHYA PRADESH,2891,639,674,7118,783,3117,0
49,MAHARASHTRA,1352,650,303,2686,769,5353,0
50,MANIPUR,14,82,0,58,0,10,0
51,MEGHALAYA,38,10,0,23,0,0,0
52,MIZORAM,76,2,0,73,0,3,0
53,NAGALAND,17,4,0,1,0,0,0
54,ODISHA,691,432,248,1605,188,1167,0
55,PUNJAB,299,354,166,341,145,944,0
56,RAJASTHAN,1051,2019,399,2730,44,5691,0
57,SIKKIM,6,2,0,17,0,3,0
58,TAMIL NADU,534,714,243,1877,1718,1052,0
59,TRIPURA,108,48,16,128,0,236,0
60,UTTAR PRADESH,1415,2298,1893,2145,1887,5679,0
61,UTTARAKHAND,89,155,66,145,97,316,1
62,WEST BENGAL,759,694,273,964,34,4069,1
63,A&N ISLANDS,2,1,0,17,3,4,0
64,CHANDIGARH,18,47,1,36,28,56,0
65,D&N HAVELI,4,5,0,3,0,3,0
66,DAMAN & DIU,0,2,0,0,0,3,0
67,DELHI,403,893,135,446,128,135,0
68,LAKSHADWEEP,1,0,0,1,0,0,0
69,PUDUCHERRY,6,6,5,59,26,9,0
70,ANDHRA PRADESH,946,931,466,4128,2286,8167,5
71,ARUNACHAL PRADESH,31,51,0,43,0,14,0
72,ASSAM,1095,1351,60,878,6,1808,0
73,BIHAR,985,674,909,688,11,1880,37
74,CHHATTISGARH,898,149,79,1481,105,601,0
75,GOA,31,13,2,19,7,24,0
76,GUJARAT,236,859,54,722,92,3684,0
77,HARYANA,353,271,222,344,1302,1618,0
78,HIMACHAL PRADESH,126,96,6,250,18,221,0
79,JAMMU & KASHMIR,211,615,10,875,376,71,0
